ISBN,SUBJECT_ID,SUBJECT_TEXT
9780804170628,The Self and the World in 21th.Cent. U.S fiction,The Self and the World in 21th.Cent. U.S fiction
9780812980097,The Self and the World in 21th.Cent. U.S fiction,The Self and the World in 21th.Cent. U.S fiction
9781984899767,The Self and the World in 21th.Cent. U.S fiction,The Self and the World in 21th.Cent. U.S fiction
9780008610517,Writing Africa: Four Perspectives on Nigerian and,Writing Africa: Four Perspectives on Nigerian and
9780141023380,Writing Africa: Four Perspectives on Nigerian and,Writing Africa: Four Perspectives on Nigerian and
9780141186993,Writing Africa: Four Perspectives on Nigerian and,Writing Africa: Four Perspectives on Nigerian and
9781101973622,Writing Africa: Four Perspectives on Nigerian and,Writing Africa: Four Perspectives on Nigerian and
9781838856076,Writing Africa: Four Perspectives on Nigerian and,Writing Africa: Four Perspectives on Nigerian and
9788759334775,Digital Strategic Communication,Digital Strategic Communication
9789819994953,Digital Strategic Communication,Digital Strategic Communication
9788792241795,Digital strategisk kommunikation,Digital strategisk kommunikation
9780198796053,Kvalitative og kvantitative metoder i film- og...,Kvalitative og kvantitative metoder i film- og...
9780521654814,"Argumentationsteori, logik og sprogfilosofi","Argumentationsteori, logik og sprogfilosofi"
9781138504585,"Argumentationsteori, logik og sprogfilosofi","Argumentationsteori, logik og sprogfilosofi"
9788792130389,"Argumentationsteori, logik og sprogfilosofi","Argumentationsteori, logik og sprogfilosofi"
9780226618654,Videnskabsfilosofi og anvendt filosofi,Videnskabsfilosofi og anvendt filosofi
9780226618654,Videnskabsfilosofi og anvendt filosofi (ÅU),Videnskabsfilosofi og anvendt filosofi (ÅU)
9788759319642,Oversættelse: Fransk-dansk,Oversættelse: Fransk-dansk
9788793772281,Hverdag og krig i Danmark 1940-1945 (Område 2),Hverdag og krig i Danmark 1940-1945 (Område 2)
9780735221529,"Liberale, konservative og kampen om amerikansk j..","Liberale, konservative og kampen om amerikansk j.."
9780753560846,"Liberale, konservative og kampen om amerikansk j..","Liberale, konservative og kampen om amerikansk j.."
9781684511341,"Liberale, konservative og kampen om amerikansk j..","Liberale, konservative og kampen om amerikansk j.."
9788776745806,Velfærdsstat og børneforsorg i Danmark i det 20. å,Velfærdsstat og børneforsorg i Danmark i det 20. å
9788772199306,Velfærdsstat og børneforsorg i Danmark i det 20. å,Velfærdsstat og børneforsorg i Danmark i det 20. å
9780415688062,HIS 76. Bibelen - en boghistorie,HIS 76. Bibelen - en boghistorie
9780679736882,"Radikalisering i oplysningstiden: køn, politik og","Radikalisering i oplysningstiden: køn, politik og"
9781108440776,"Radikalisering i oplysningstiden: køn, politik og","Radikalisering i oplysningstiden: køn, politik og"
9780197751794,Efter den Kolde Krig var forbi. Fra Engagement til,Efter den Kolde Krig var forbi. Fra Engagement til
9780253018700,Efter den Kolde Krig var forbi. Fra Engagement til,Efter den Kolde Krig var forbi. Fra Engagement til
9780300268034,Efter den Kolde Krig var forbi. Fra Engagement til,Efter den Kolde Krig var forbi. Fra Engagement til
9781509556892,Efter den Kolde Krig var forbi. Fra Engagement til,Efter den Kolde Krig var forbi. Fra Engagement til
9780198839606,Sporten og dens samfundsmæssige betydning i den se,Sporten og dens samfundsmæssige betydning i den se
9780520274334,Sporten og dens samfundsmæssige betydning i den se,Sporten og dens samfundsmæssige betydning i den se
9780521497909,Sporten og dens samfundsmæssige betydning i den se,Sporten og dens samfundsmæssige betydning i den se
9781119565628,Sporten og dens samfundsmæssige betydning i den se,Sporten og dens samfundsmæssige betydning i den se
9788772899923,Sporten og dens samfundsmæssige betydning i den se,Sporten og dens samfundsmæssige betydning i den se
9780802860835,Go West. Historiske perspektiver på USA's kulturel,Go West. Historiske perspektiver på USA's kulturel
9780806130316,Go West. Historiske perspektiver på USA's kulturel,Go West. Historiske perspektiver på USA's kulturel
9780806132297,Go West. Historiske perspektiver på USA's kulturel,Go West. Historiske perspektiver på USA's kulturel
9781585446278,Go West. Historiske perspektiver på USA's kulturel,Go West. Historiske perspektiver på USA's kulturel
9781108440776,Oplysningstiden som ideal eller dystopi: 1700-tall,Oplysningstiden som ideal eller dystopi: 1700-tall
9788202760571,Oplysningstiden som ideal eller dystopi: 1700-tall,Oplysningstiden som ideal eller dystopi: 1700-tall
9788750057659,Oplysningstiden som ideal eller dystopi: 1700-tall,Oplysningstiden som ideal eller dystopi: 1700-tall
9788779704107,Oplysningstiden som ideal eller dystopi: 1700-tall,Oplysningstiden som ideal eller dystopi: 1700-tall
9788759317860,Design og formidling,Design og formidling
9781631492778,Internet og samfund,Internet og samfund
9788741277653,Internet og samfund,Internet og samfund
9788759314982,Kulturens institutioner og aktører + TV,Kulturens institutioner og aktører + TV
9788759321713,Kulturens institutioner og aktører + TV,Kulturens institutioner og aktører + TV
9788741256825,Videnskabsteori,Videnskabsteori
9780520287778,"Intro. to Japan's history, culture and society B/2","Intro. to Japan's history, culture and society B/2"
9780521178723,"Intro. to Japan's history, culture and society B/2","Intro. to Japan's history, culture and society B/2"
