STUDY_ID,STUDY_TEXT,SUBJECT_ID,SUBJECT_TEXT,SEMESTER_TEXT
855,Master in Applied Cultural Analysis (MACA),Methodologies for Cultural Analysis (MACA 4),Methodologies for Cultural Analysis (MACA 4),Master
857,Mellemøstens sprog og samfund,Religion og samfund i Mellemøsten,Religion og samfund i Mellemøsten,1.år/2.sem/Bach
873,Pædagogik,Pædagogisk sociologi og uddannelsessociologi,Pædagogisk sociologi og uddannelsessociologi,1.år/2.sem/Bach
873,Pædagogik,Pædagogisk videnskabsteori og forskningsmetode,Pædagogisk videnskabsteori og forskningsmetode,Bachelor
874,Religionsvidenskab,Kristendomshistorie,Kristendomshistorie,1.år/1.sem/Bach
876,Retorik,Mundtlig retorik og rådgivning,Mundtlig retorik og rådgivning,2.år/4.sem/Bach
876,Retorik,"Retorisk skrivning, sprog og stil","Retorisk skrivning, sprog og stil",2.år/4.sem/Bach
893,"SAXO Arkæologi, Etnologi, Historie, Græsk og Latin",Græsk-romersk arkæologi og kunsthistorie,Græsk-romersk arkæologi og kunsthistorie,1.år/2.sem/Bach
893,"SAXO Arkæologi, Etnologi, Historie, Græsk og Latin",Human Osteoarchaeology,Human Osteoarchaeology,Bachelor
893,"SAXO Arkæologi, Etnologi, Historie, Græsk og Latin",Københavnernes historie 1700-1850,Københavnernes historie 1700-1850,Bachelor
893,"SAXO Arkæologi, Etnologi, Historie, Græsk og Latin",Rejsen i middelalderen,Rejsen i middelalderen,Bachelor
882,Teater- og performancestudier,Forestillingsanalyse,Forestillingsanalyse,Bachelor
885,Tværkulturelle studier,Humaniora i praksis: Feltarbejde,Humaniora i praksis: Feltarbejde,BA/Kand. Tilvalg
885,Tværkulturelle studier,Kinesisk Propædeutik 2 (OBS: Ikke  med CBS),Kinesisk Propædeutik 2 (OBS: Ikke  med CBS),Bachelor
887,Tysk sprog og kultur,Kultur 2: tysk historie og litteraturhistorie,Kultur 2: tysk historie og litteraturhistorie,1.år/2.sem/Bach
887,Tysk sprog og kultur,"Tyskfagligt emne, inkl. mundtlig og skriftlig...","Tyskfagligt emne, inkl. mundtlig og skriftlig...",Bachelor
888,Visuel kultur,Visuel praksis,Visuel praksis,Kandidat
891,Østeuropastudier,Oversættelse til dansk,Oversættelse til dansk,Kandidat
900,Jura Bachelor,Erstatning og Kontrakt,Erstatning og Kontrakt,1.år/2.sem/Bach
900,Jura Bachelor,Individets grundlæggende rettigheder,Individets grundlæggende rettigheder,1.år/2.sem/Bach
900,Jura Bachelor,Institutionel forfatningsret og EU-forfatningsret,Institutionel forfatningsret og EU-forfatningsret,1.år/2.sem/Bach
900,Jura Bachelor,Forvaltningsret,Forvaltningsret,2.år/4.sem/Bach
900,Jura Bachelor,Tings- og kreditorret,Tings- og kreditorret,2.år/4.sem/Bach
900,Jura Bachelor,BA-PROJEKT - Bachelorprojekt,BA-PROJEKT - Bachelorprojekt,3.år/6.sem/Bach
900,Jura Bachelor,Retsfilosofi og retssociologi,Retsfilosofi og retssociologi,3.år/6.sem/Bach
900,Jura Bachelor,Retshistorie,Retshistorie,3.år/6.sem/Bach
901,Jura Kandidat,Arbejdsmarkedsret (Cand. soc. i jura),Arbejdsmarkedsret (Cand. soc. i jura),Cand.Soc.
901,Jura Kandidat,"Erhvervsret - selskaber, finan (Cand. soc. i jura)","Erhvervsret - selskaber, finan (Cand. soc. i jura)",Cand.Soc.
901,Jura Kandidat,Juridisk Kommunikation i Teori og Praksis,Juridisk Kommunikation i Teori og Praksis,Cand.Soc.
901,Jura Kandidat,Ansættelsesret,Ansættelsesret,Kandidatfag
901,Jura Kandidat,Arbejdsret (KA-valgfag),Arbejdsret (KA-valgfag),Kandidatfag
901,Jura Kandidat,Art Crime and the Law,Art Crime and the Law,Kandidatfag
901,Jura Kandidat,Bank- og Finansret,Bank- og Finansret,Kandidatfag
901,Jura Kandidat,Bevisret,Bevisret,Kandidatfag
901,Jura Kandidat,Civilprocesret (obligatorisk 2017-studieordning),Civilprocesret (obligatorisk 2017-studieordning),Kandidatfag
901,Jura Kandidat,Criminological Theory,Criminological Theory,Kandidatfag
901,Jura Kandidat,Databeskyttelsesret,Databeskyttelsesret,Kandidatfag
901,Jura Kandidat,Drafting and Negotiating International Contracts,Drafting and Negotiating International Contracts,Kandidatfag
901,Jura Kandidat,EU Competition Law,EU Competition Law,Kandidatfag
