fetch_date,semester_id,semester_text,university_id,university_text,study_id,study_text,subject_id,subject_text,isbn
2024-04-29T16:57:18.896Z,10229,4. semester,6273789,CBS - Copenhagen Business School,161,BSc in Business Administration and Sociology,BSc SOC Consumer Culture and Marketing,BSc SOC Consumer Culture and Marketing,9781292269566
2024-04-29T16:57:18.896Z,10229,4. semester,6273789,CBS - Copenhagen Business School,161,BSc in Business Administration and Sociology,BSc SOC Philosophy of science,BSc SOC Philosophy of science,9788741256573
2024-04-29T16:57:18.896Z,10230,6. semester,6273789,CBS - Copenhagen Business School,161,BSc in Business Administration and Sociology,BSc SOC Quantitative methods II,BSc SOC Quantitative methods II,9780691214351
2024-04-29T16:57:18.896Z,10114,2. semester,6273789,CBS - Copenhagen Business School,110,BSc in International Shipping and Trade,BSc IST Corporate finance,BSc IST Corporate finance,9781265102593
2024-04-29T16:57:18.896Z,10114,2. semester,6273789,CBS - Copenhagen Business School,110,BSc in International Shipping and Trade,BSc IST Financial accounting,BSc IST Financial accounting,9781292412733
2024-04-29T16:57:18.896Z,10114,2. semester,6273789,CBS - Copenhagen Business School,110,BSc in International Shipping and Trade,BSc IST Principles of international marketing,BSc IST Principles of international marketing,9781292251806
2024-04-29T16:57:18.896Z,10226,Bachelor Valgfag,6273789,CBS - Copenhagen Business School,133,Bachelor Valgfag,BHAAV1581U Virksomhedshandel,BHAAV1581U Virksomhedshandel,9788761925541
2024-04-29T16:57:18.896Z,10226,Bachelor Valgfag,6273789,CBS - Copenhagen Business School,133,Bachelor Valgfag,BHAAV1581U Virksomhedshandel,BHAAV1581U Virksomhedshandel,9788763445290
2024-04-29T16:57:18.896Z,10226,Bachelor Valgfag,6273789,CBS - Copenhagen Business School,133,Bachelor Valgfag,BHAAV4491U Financial derivatives and their applica,BHAAV4491U Financial derivatives and their applica,9781292410654
2024-04-29T16:57:18.896Z,10226,Bachelor Valgfag,6273789,CBS - Copenhagen Business School,133,Bachelor Valgfag,BHAAV6021U Global people management,BHAAV6021U Global people management,9781108461146
2024-04-29T16:57:18.896Z,10226,Bachelor Valgfag,6273789,CBS - Copenhagen Business School,133,Bachelor Valgfag,BHAAV6021U Global people management,BHAAV6021U Global people management,9781398603530
2024-04-29T16:57:18.896Z,10226,Bachelor Valgfag,6273789,CBS - Copenhagen Business School,133,Bachelor Valgfag,BHAAV6021U Global people management,BHAAV6021U Global people management,9781843983750
2024-04-29T16:57:18.896Z,10226,Bachelor Valgfag,6273789,CBS - Copenhagen Business School,133,Bachelor Valgfag,BINBV1106U Danish integrated skills,BINBV1106U Danish integrated skills,9788763602068
2024-04-29T16:57:18.896Z,10226,Bachelor Valgfag,6273789,CBS - Copenhagen Business School,133,Bachelor Valgfag,BINBV1106U Danish integrated skills,BINBV1106U Danish integrated skills,9788763603058
